time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-25 00:00:00+00:00,18588,126,289,42
2021-06-26 00:00:00+00:00,41825,144,118,47
2021-06-27 00:00:00+00:00,40214,119,191,43
2021-06-28 00:00:00+00:00,41171,107,425,111
2021-06-29 00:00:00+00:00,40923,121,409,108
2021-06-30 00:00:00+00:00,40985,133,476,113
2021-07-01 00:00:00+00:00,40864,124,523,98
2021-07-02 00:00:00+00:00,42155,120,292,86
2021-07-03 00:00:00+00:00,44001,80,69,36
2021-07-04 00:00:00+00:00,43788,63,64,29
2021-07-05 00:00:00+00:00,40386,114,337,111
2021-07-06 00:00:00+00:00,41185,151,409,117
2021-07-07 00:00:00+00:00,41745,157,414,129
2021-07-08 00:00:00+00:00,41295,161,370,108
2021-07-09 00:00:00+00:00,20192,81,155,46
