time_iso8601,forks_cumulative
2016-11-05 00:00:00+00:00,1
2016-12-18 00:00:00+00:00,2
2017-01-15 00:00:00+00:00,3
2017-01-26 00:00:00+00:00,4
2017-03-17 00:00:00+00:00,5
2017-03-28 00:00:00+00:00,6
2017-04-03 00:00:00+00:00,7
2017-04-05 00:00:00+00:00,8
2017-04-14 00:00:00+00:00,9
2017-04-30 00:00:00+00:00,10
2017-05-05 00:00:00+00:00,11
2017-05-30 00:00:00+00:00,12
2017-05-31 00:00:00+00:00,13
2017-06-14 00:00:00+00:00,14
2017-07-18 00:00:00+00:00,15
2017-07-24 00:00:00+00:00,16
2017-07-27 00:00:00+00:00,17
2017-07-31 00:00:00+00:00,18
2017-10-25 00:00:00+00:00,19
2017-11-10 00:00:00+00:00,20
2017-11-20 00:00:00+00:00,21
2017-11-21 00:00:00+00:00,22
2017-12-01 00:00:00+00:00,23
2017-12-06 00:00:00+00:00,24
2017-12-22 00:00:00+00:00,25
2018-01-05 00:00:00+00:00,26
2018-01-09 00:00:00+00:00,28
2018-01-29 00:00:00+00:00,29
2018-02-07 00:00:00+00:00,30
2018-02-13 00:00:00+00:00,31
2018-02-26 00:00:00+00:00,32
2018-02-28 00:00:00+00:00,33
2018-03-01 00:00:00+00:00,34
2018-03-12 00:00:00+00:00,35
2018-03-14 00:00:00+00:00,38
2018-03-20 00:00:00+00:00,39
2018-03-29 00:00:00+00:00,40
2018-04-01 00:00:00+00:00,41
2018-04-10 00:00:00+00:00,42
2018-04-11 00:00:00+00:00,43
2018-04-25 00:00:00+00:00,44
2018-05-07 00:00:00+00:00,45
2018-05-09 00:00:00+00:00,46
2018-05-10 00:00:00+00:00,47
2018-05-12 00:00:00+00:00,48
2018-05-13 00:00:00+00:00,49
2018-05-14 00:00:00+00:00,50
2018-05-15 00:00:00+00:00,51
2018-05-28 00:00:00+00:00,52
2018-06-05 00:00:00+00:00,53
2018-06-08 00:00:00+00:00,54
2018-06-12 00:00:00+00:00,56
