time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-25 00:00:00+00:00,29244,137,534,256
2021-06-26 00:00:00+00:00,59239,145,419,255
2021-06-27 00:00:00+00:00,64415,143,220,127
2021-06-28 00:00:00+00:00,66750,160,1091,505
2021-06-29 00:00:00+00:00,66878,172,939,500
2021-06-30 00:00:00+00:00,67269,156,1211,473
2021-07-01 00:00:00+00:00,67409,129,1105,481
2021-07-02 00:00:00+00:00,67524,128,966,372
2021-07-03 00:00:00+00:00,65607,130,179,105
2021-07-04 00:00:00+00:00,65109,123,173,109
2021-07-05 00:00:00+00:00,66816,116,660,357
2021-07-06 00:00:00+00:00,68023,118,982,436
2021-07-07 00:00:00+00:00,72398,136,888,446
2021-07-08 00:00:00+00:00,71884,138,1129,477
2021-07-09 00:00:00+00:00,71814,114,963,442
2021-07-10 00:00:00+00:00,70942,116,348,128
2021-07-11 00:00:00+00:00,70653,102,304,117
2021-07-12 00:00:00+00:00,72667,118,889,431
2021-07-13 00:00:00+00:00,71930,145,1002,463
2021-07-14 00:00:00+00:00,68980,139,864,404
2021-07-15 00:00:00+00:00,69755,134,1034,462
2021-07-16 00:00:00+00:00,68473,135,896,379
2021-07-17 00:00:00+00:00,64400,125,213,91
2021-07-18 00:00:00+00:00,64241,168,165,112
2021-07-19 00:00:00+00:00,62997,168,916,433
2021-07-20 00:00:00+00:00,57026,139,914,410
2021-07-21 00:00:00+00:00,58113,153,1092,477
2021-07-22 00:00:00+00:00,61314,145,1001,427
2021-07-23 00:00:00+00:00,61311,124,1023,460
2021-07-24 00:00:00+00:00,57646,96,188,98
2021-07-25 00:00:00+00:00,57553,90,231,120
2021-07-26 00:00:00+00:00,62027,128,1209,478
2021-07-27 00:00:00+00:00,67821,153,1333,442
2021-07-28 00:00:00+00:00,63661,153,1229,458
2021-07-29 00:00:00+00:00,65575,159,1292,460
2021-07-30 00:00:00+00:00,68140,139,808,352
2021-07-31 00:00:00+00:00,64061,128,272,125
2021-08-01 00:00:00+00:00,62587,124,318,121
2021-08-02 00:00:00+00:00,64597,134,1030,463
2021-08-03 00:00:00+00:00,66960,149,1012,450
2021-08-04 00:00:00+00:00,68893,129,1118,490
2021-08-05 00:00:00+00:00,68173,123,1101,457
2021-08-06 00:00:00+00:00,68223,116,980,406
2021-08-07 00:00:00+00:00,66479,110,176,129
2021-08-08 00:00:00+00:00,66756,115,231,132
2021-08-09 00:00:00+00:00,68611,129,1175,500
2021-08-10 00:00:00+00:00,68496,153,1021,477
2021-08-11 00:00:00+00:00,68554,162,1212,461
2021-08-12 00:00:00+00:00,67844,159,983,442
2021-08-13 00:00:00+00:00,66148,150,836,394
2021-08-14 00:00:00+00:00,66043,125,205,114
2021-08-15 00:00:00+00:00,65929,123,233,123
2021-08-16 00:00:00+00:00,67411,168,984,414
2021-08-17 00:00:00+00:00,61643,153,1038,463
