time_iso8601,forks_cumulative
2020-04-24 00:00:00+00:00,1
2020-06-22 00:00:00+00:00,2
2020-06-25 00:00:00+00:00,3
2020-06-28 00:00:00+00:00,4
2020-07-03 00:00:00+00:00,5
2020-07-04 00:00:00+00:00,6
2020-07-14 00:00:00+00:00,7
2020-07-25 00:00:00+00:00,8
2020-07-29 00:00:00+00:00,9
2020-08-06 00:00:00+00:00,10
2020-08-13 00:00:00+00:00,11
2020-08-18 00:00:00+00:00,13
2020-08-20 00:00:00+00:00,14
2020-08-27 00:00:00+00:00,15
2020-08-30 00:00:00+00:00,16
2020-09-04 00:00:00+00:00,17
2020-09-07 00:00:00+00:00,18
2020-09-14 00:00:00+00:00,19
2020-09-30 00:00:00+00:00,20
2020-10-03 00:00:00+00:00,21
2020-10-07 00:00:00+00:00,23
2020-10-13 00:00:00+00:00,24
2020-10-14 00:00:00+00:00,25
2020-10-15 00:00:00+00:00,27
2020-10-16 00:00:00+00:00,28
2020-10-21 00:00:00+00:00,29
2020-10-25 00:00:00+00:00,30
2020-10-29 00:00:00+00:00,32
2020-10-30 00:00:00+00:00,33
2020-11-02 00:00:00+00:00,34
2020-11-03 00:00:00+00:00,35
2020-11-05 00:00:00+00:00,37
2020-11-06 00:00:00+00:00,38
2020-11-07 00:00:00+00:00,40
2020-11-09 00:00:00+00:00,41
2020-11-10 00:00:00+00:00,42
2020-11-11 00:00:00+00:00,43
2020-11-12 00:00:00+00:00,44
2020-11-16 00:00:00+00:00,45
2020-11-17 00:00:00+00:00,47
2020-11-19 00:00:00+00:00,48
2020-11-20 00:00:00+00:00,49
2020-11-21 00:00:00+00:00,50
2020-11-23 00:00:00+00:00,51
2020-11-24 00:00:00+00:00,52
2020-11-25 00:00:00+00:00,54
2020-11-27 00:00:00+00:00,55
2020-11-29 00:00:00+00:00,56
2020-11-30 00:00:00+00:00,57
2020-12-01 00:00:00+00:00,60
2020-12-04 00:00:00+00:00,62
2020-12-06 00:00:00+00:00,63
2020-12-10 00:00:00+00:00,64
2020-12-17 00:00:00+00:00,65
2020-12-18 00:00:00+00:00,66
2020-12-21 00:00:00+00:00,67
2020-12-22 00:00:00+00:00,69
2020-12-28 00:00:00+00:00,70
2021-01-01 00:00:00+00:00,71
2021-01-06 00:00:00+00:00,73
2021-01-08 00:00:00+00:00,74
2021-01-10 00:00:00+00:00,75
2021-01-12 00:00:00+00:00,76
2021-01-19 00:00:00+00:00,78
2021-01-25 00:00:00+00:00,80
2021-01-26 00:00:00+00:00,81
2021-01-27 00:00:00+00:00,82
2021-01-28 00:00:00+00:00,83
2021-02-01 00:00:00+00:00,86
2021-02-03 00:00:00+00:00,88
2021-02-07 00:00:00+00:00,89
2021-02-08 00:00:00+00:00,91
2021-02-09 00:00:00+00:00,93
2021-02-10 00:00:00+00:00,95
2021-02-12 00:00:00+00:00,96
2021-02-15 00:00:00+00:00,97
2021-02-16 00:00:00+00:00,99
2021-02-17 00:00:00+00:00,101
2021-02-23 00:00:00+00:00,104
2021-03-01 00:00:00+00:00,106
2021-03-03 00:00:00+00:00,107
2021-03-04 00:00:00+00:00,110
