time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-24 00:00:00+00:00,39872,443,1439,406
2022-01-25 00:00:00+00:00,39399,465,1656,432
2022-01-26 00:00:00+00:00,41502,483,1568,448
2022-01-27 00:00:00+00:00,44012,457,1252,370
2022-01-28 00:00:00+00:00,42627,393,1374,344
2022-01-29 00:00:00+00:00,38499,347,353,137
2022-01-30 00:00:00+00:00,38920,351,324,125
2022-01-31 00:00:00+00:00,40095,445,1586,437
2022-02-01 00:00:00+00:00,41193,460,2223,549
2022-02-02 00:00:00+00:00,42332,481,2069,595
2022-02-03 00:00:00+00:00,42488,472,2914,694
2022-02-04 00:00:00+00:00,42263,475,3447,802
2022-02-05 00:00:00+00:00,41244,436,883,267
2022-02-06 00:00:00+00:00,38035,422,833,254
