time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-25 00:00:00+00:00,12918,240,438,112
2021-06-26 00:00:00+00:00,29041,296,284,102
2021-06-27 00:00:00+00:00,29018,253,383,88
2021-06-28 00:00:00+00:00,29692,363,1245,292
2021-06-29 00:00:00+00:00,29615,322,1198,284
2021-06-30 00:00:00+00:00,29795,338,1423,357
2021-07-01 00:00:00+00:00,28522,302,1448,333
2021-07-02 00:00:00+00:00,28618,320,1243,310
2021-07-03 00:00:00+00:00,28572,247,346,101
2021-07-04 00:00:00+00:00,28633,214,468,125
2021-07-05 00:00:00+00:00,29130,265,1197,268
2021-07-06 00:00:00+00:00,28971,309,1565,326
2021-07-07 00:00:00+00:00,28779,317,1432,333
2021-07-08 00:00:00+00:00,30745,286,1355,342
2021-07-09 00:00:00+00:00,31379,282,1300,297
2021-07-10 00:00:00+00:00,29678,267,378,117
2021-07-11 00:00:00+00:00,29781,258,506,107
2021-07-12 00:00:00+00:00,30460,298,1222,279
2021-07-13 00:00:00+00:00,30497,306,1079,313
2021-07-14 00:00:00+00:00,30428,295,1157,259
2021-07-15 00:00:00+00:00,30405,308,1383,340
2021-07-16 00:00:00+00:00,30419,320,1194,288
2021-07-17 00:00:00+00:00,29737,287,579,116
2021-07-18 00:00:00+00:00,29392,264,333,91
2021-07-19 00:00:00+00:00,30754,306,1133,289
2021-07-20 00:00:00+00:00,31425,262,1176,296
2021-07-21 00:00:00+00:00,32242,254,1003,291
2021-07-22 00:00:00+00:00,30950,286,1213,327
2021-07-23 00:00:00+00:00,32982,278,969,265
2021-07-24 00:00:00+00:00,31349,240,372,94
2021-07-25 00:00:00+00:00,31409,243,379,106
2021-07-26 00:00:00+00:00,32763,289,1119,291
2021-07-27 00:00:00+00:00,33650,315,944,303
2021-07-28 00:00:00+00:00,34077,309,1260,306
2021-07-29 00:00:00+00:00,34071,297,1086,329
2021-07-30 00:00:00+00:00,33629,298,1012,242
2021-07-31 00:00:00+00:00,32637,292,304,104
2021-08-01 00:00:00+00:00,32418,270,414,98
2021-08-02 00:00:00+00:00,32854,287,941,292
2021-08-03 00:00:00+00:00,33939,290,1247,302
2021-08-04 00:00:00+00:00,33382,283,1553,368
2021-08-05 00:00:00+00:00,33312,274,1268,345
2021-08-06 00:00:00+00:00,33428,292,1164,332
2021-08-07 00:00:00+00:00,31942,289,399,115
2021-08-08 00:00:00+00:00,30536,282,648,122
2021-08-09 00:00:00+00:00,29865,302,1650,362
2021-08-10 00:00:00+00:00,31727,331,1710,367
2021-08-11 00:00:00+00:00,35752,386,1364,324
2021-08-12 00:00:00+00:00,42891,327,1418,325
2021-08-13 00:00:00+00:00,42707,323,793,251
2021-08-14 00:00:00+00:00,38878,296,350,112
2021-08-15 00:00:00+00:00,38813,284,307,103
2021-08-16 00:00:00+00:00,39653,317,1313,333
2021-08-17 00:00:00+00:00,41539,317,1509,316
2021-08-18 00:00:00+00:00,43785,340,1750,310
2021-08-19 00:00:00+00:00,40189,310,1511,333
2021-08-20 00:00:00+00:00,35000,319,1086,266
2021-08-21 00:00:00+00:00,36836,278,228,102
2021-08-22 00:00:00+00:00,34383,273,268,124
2021-08-23 00:00:00+00:00,34352,344,1397,325
2021-08-24 00:00:00+00:00,34231,343,1390,326
2021-08-25 00:00:00+00:00,31532,345,1073,298
